code;descr;name
2;2QW;Analytics for Production Unit - Plan/Actual Production Cost
3;1NN;Business Event Handling
4;6GD;Engineer Products and Systems - Project with Production
5;30K;Predictive Analytics Model Training - Finance
6;1NJ;Responsibility Management
7;31N;Situation Handling
8;BH1;Corrective Maintenance
9;BH2;Emergency Maintenance
10;4VT;Improvement Maintenance
11;3YE;Integration with Asset Central Foundation
12;43R;Maintenance Resource Scheduling
13;4WM;Operational and Overhead Maintenance
14;BJ2;Preventive Maintenance
15;4HI;Proactive Maintenance
16;4HH;Reactive Maintenance
17;4RV;SAP Maintenance Assistant
18;53M;ABAP core data services extraction for SAP Data Intelligence
19;53L;ABAP core data services extraction for SAP Data Warehouse Cloud
20;6N4;ABAP Core Data Services Extraction for SAP HANA
21;55F;Automotive Supply To Customer - Inventory Management
22;1NX;Collaborative Manufacturing with SAP Digital Manufacturing Cloud
23;35D;Core Data Services-Based Extraction with SAP S/4HANA Cloud
24;JB1;Core HR with SAP SuccessFactors Employee Central
25;5I9;Customer Data Return
26;BH3;Data Migration to SAP S/4HANA from SAP
27;2Q2;Data Migration to SAP S/4HANA from Staging
28;5LE;Data Protection and Privacy
29;4AP;Data Quality Management for Business Partner
30;4AQ;Data Quality Management for Product
31;53V;Digital Payments Foundation
32;4O0;Electronic Movement Control System
33;1FD;Employee Integration - SAP S/4HANA Enablement
34;4LO;Enablement of SAP Excise Tax Management
35;6GD;Engineer Products and Systems - Project with Production
36;62R;Excise Tax - Consumer Products
37;4AJ;Financial Master Data for SAP SuccessFactors Employee Central
38;1YB;Import Connection setup with SAP Analytics Cloud
39;1KA;Information Lifecycle Management
40;2OQ;Integration to SAP Enterprise Contract Assembly
41;2UZ;Integration with Data Quality Management
42;55E;Lot Size of One with Advanced Variant Configuration
43;1RK;Mass Load and Mass Maintenance for Business Partner
44;1RM;Mass Load and Mass Maintenance for Product
45;1N7;Mass Processing for Business Partner
46;1N5;Mass Processing for Product
47;1I5;Master Data Catalog for SAP S/4HANA Cloud
48;1N3;Master Data Consolidation for Business Partner
49;1N1;Master Data Consolidation for Product
50;1RO;Master Data Integration
51;3UP;Payroll Processing with SAP ERP HCM Payroll
52;1NL;Payroll Processing with SAP SuccessFactors Employee Central Payroll
53;54U;Produce and Sell Standard Products - Inventory Management
54;54V;Produce and Sell Standard Products - Warehouse Managed
55;1NJ;Responsibility Management
56;3N5;SAP Enable Now Integration
57;1UG;SAP S/4HANA Cloud Integration with SAP Marketing Cloud
58;1XV;SAP S/4HANA for Enterprise Contract Management
59;1W4;Subsidiary Integration of SAP S/4HANA Cloud to Central Finance
60;4AF;Workforce Management with SAP Master Data Integration
61;J58;Accounting and Financial Close
62;1GA;Accounting and Financial Close - Group Ledger IFRS
63;2VA;Accounting and Financial Close - Group Ledger US GAAP
64;2FD;Accounting for Incoming Sales Orders
65;33Q;Actual Costing
66;J62;Asset Accounting
67;5HG;Asset Accounting – Additional Depreciation Area
68;6VB;Asset Accounting – Additional Depreciation Keys for Local GAAPs
69;1GB;Asset Accounting - Group Ledger IFRS
70;33F;Asset Accounting - Group Ledger US GAAP
71;5IT;Asset Retirement Obligation - IFRS
72;56E;Asset Retirement Obligation - US GAAP
73;BFH;Asset Under Construction
74;5KF;Asset Under Construction – Additional Depreciation Area
75;1GF;Asset Under Construction - Group Ledger IFRS
76;33G;Asset Under Construction - Group Ledger US GAAP
77;1GO;Cash Journal
78;3KK;Contract-Based Revenue Recognition - IFRS
79;3VS;Contract-Based Revenue Recognition - US GAAP
80;54D;Control Credit for Taxes on Assets
81;6GD;Engineer Products and Systems - Project with Production
82;4GQ;Event-Based Revenue Recognition - Project-Based Sales
83;4GR;Event-Based Revenue Recognition - Project-Based Sales - IFRS
84;4GS;Event-Based Revenue Recognition - Project-Based Sales - US GAAP
85;1IL;Event-Based Revenue Recognition - Project-Based Services
86;1P0;Event-Based Revenue Recognition - Project-Based Services - IFRS
87;33O;Event-Based Revenue Recognition - Project-Based Services - US GAAP
88;1K2;Event-Based Revenue Recognition - Sell from Stock
89;33M;Event-Based Revenue Recognition - Sell from Stock - IFRS
90;33J;Event-Based Revenue Recognition - Sell from Stock - US GAAP
91;3M3;Event-Based Revenue Recognition - Service Documents
92;3M4;Event-Based Revenue Recognition - Service Documents - IFRS
93;3M5;Event-Based Revenue Recognition - Service Documents - US GAAP
94;5DQ;Event-Based Revenue Recognition - Subscription Billing
95;5DR;Event-Based Revenue Recognition - Subscription Billing - IFRS
96;5DS;Event-Based Revenue Recognition - Subscription Billing - US GAAP
97;2OO;External Tax Audit
98;4Q2;External Tax Calculation
99;2FM;Financial Planning and Analysis
100;3SS;General Indirect Tax in the Canary Islands
101;1GI;General Ledger Allocation Cycle
102;5W2;Group Valuation
103;4RC;Integrated Financial Planning
104;4LG;Intelligent Intercompany Reconciliation
105;1IH;Intercompany Asset Transfer Within Same Country
106;1GP;Intercompany Financial Posting
107;40Y;Intercompany Reconciliation Process
108;BEJ;Inventory Valuation for Year-End Closing
109;3NF;Machine Learning for Accruals Management
110;2ZS;Machine Learning for Monitoring of Goods and Invoice Receipts
111;1ZT;Managing Material Price Changes and Inventory Values
112;2V7;Monitoring of Goods and Invoice Receipts
113;4PG;Organizational Flexibility in Financial Accounting
114;BF7;Period-End Closing - Maintenance Orders
115;BEI;Period-End Closing - Plant
116;BNA;Period-End Closing - Projects
117;4V7;Predictive Accounting for Service Contract Management
118;4Q0;Predictive Accounting for Travel and Expense Management
119;61W;Product Cost Related Master Data Changes - Consumer Products
120;2VB;Purchase Order Accruals
121;2QY;SAP Fiori Analytical Apps for Asset Accounting in Finance
122;BGC;SAP Fiori Analytical Apps for G/L Accounting in Finance
123;63L;Service Entry Sheet Based Accruals
124;1W4;Subsidiary Integration of SAP S/4HANA Cloud to Central Finance
125;2V8;Advanced Financial Closing
126;4HG;Advanced Financial Closing Integration
127;1J2;Compliance Formats - Support Preparation
128;5P9;Compliance Formats - Support Preparation for Belgium
129;5Z7;Compliance Formats - Support Preparation for Czech Republic
130;5O6;Compliance Formats - Support Preparation for Germany
131;5Z5;Compliance Formats - Support Preparation for South Africa
132;5Z6;Compliance Formats - Support Preparation for Sweden
133;5XU;Document and Reporting Compliance
134;5VX;Enable for Use and Contract Management
135;5YU;Enable for Use and Contract Management - Group Ledger IFRS
136;63Q;Enable for Use and Contract Management - Group Ledger US GAAP
137;5VY;External Occupancy and Contract Management
138;5YV;External Occupancy and Contract Management - Group Ledger IFRS
139;63R;External Occupancy and Contract Management - Group Ledger US GAAP
140;3AF;Group Account Preparation for Financial Consolidation
141;5PU;Group Financial Planning
142;4VB;Group Reporting - Consolidation with Multiple Group Currencies
143;2U6;Group Reporting - Data from External Systems
144;287;Group Reporting - Data from SAP Group Reporting Data Collection
145;4R7;Group Reporting - Environmental, Social, and Governance Data
146;1SG;Group Reporting - Financial Consolidation
147;3LX;Group Reporting - Matrix Consolidation
148;28B;Group Reporting - Plan Consolidation
149;4X3;Integration of SAP S/4HANA and SAP Cloud for Real Estate
150;5W0;Intercompany Occupancy and Contract Management
151;5YW;Intercompany Occupancy and Contract Management - Group Ledger IFRS
152;63S;Intercompany Occupancy and Contract Mgmt - Group Ledger US GAAP
153;2O9;Intercompany Process for Sublease Accounting
154;5VZ;Internal Occupancy and Cost Allocation
155;3F7;Joint Venture Accounting
156;1T6;Lease-In Accounting
157;21P;Lease-In Accounting - Group Ledger IFRS
158;34N;Lease-In Accounting - Group Ledger US GAAP
